metric,definition,formula_from_spheroid_rd_model,outcome_predicted,evidence_tier,tumor_type,cohort_size,direction_of_effect,key_citation,doi,computable_from_avascular_spheroid,notes
"Organoid drug response predicts patient response (ex vivo, drug-specific)",Ex vivo drug sensitivity of patient-derived organoids compared with the same patient's clinical response.,"Conceptually our target: an ex vivo 3D readout mapped to clinical response. Our model is a simulation of a 3D system, one step further removed.",Clinical response to the same agent,B,Metastatic colorectal cancer (prospective),prospective clinical study cohort,"The organoid test identified non-responders to irinotecan-based therapy in >80% of patients without misclassifying benefiters, but FAILED to predict response to 5-fluorouracil plus oxaliplatin","Ooft SN 2019, Science Translational Medicine",10.1126/scitranslmed.aay2574,no,"The drug-specific failure is the key lesson: 3D ex vivo predictiveness is agent-dependent, not general."
Organoid recapitulation of patient responses across agents,"Comparison of organoid, PDX and patient responses in phase 1/2 trial participants.",As above.,Clinical response,B,Metastatic colorectal and gastroesophageal cancer (phase 1/2 trial patients),living biobank from trial patients,Organoid responses recapitulated patient responses in the clinic,"Vlachogiannis G 2018, Science",10.1126/science.aao2774,no,"Best-case evidence for 3D ex vivo predictiveness; still not a simulation, and heavily pretreated patients."
Hypoxia as a prognostic factor - synthesis,Review of clinical hypoxia-outcome associations across tumour types.,n/a.,Overall survival / progression across tumour types,A (review of Tier A studies),Multiple solid tumours,review,Hypoxia is consistently associated with malignant progression and treatment resistance,"Vaupel P 2007, Cancer and Metastasis Reviews",10.1007/s10555-007-9055-1,partial,Use to establish generality; cite Nordsmark/Brizel/Hockel for primary numbers.
Definitions and pathophysiology of tumour hypoxia,Conceptual and methodological framing of what 'hypoxia' means clinically vs biochemically.,Informs our choice of an oxygen threshold.,n/a,C,Solid tumours generally,review,Hypoxia arises from disturbed microcirculation and deteriorating diffusion conditions,"Hockel M 2001, Journal of the National Cancer Institute",10.1093/jnci/93.4.266,partial,"Important caveat source: clinical hypoxia is largely PERFUSION-limited, ours is purely DIFFUSION-limited."
Tumour-dynamics modelling for drug development - framework,Review of tumour dynamic models and TGI-OS applications in oncology drug development and regulation.,Framing for our metric choices.,n/a,A (review of Tier A studies),Multiple,review,TGI-OS modelling has growing regulatory and developmental adoption,"Bruno R 2020, Clinical Cancer Research",10.1158/1078-0432.CCR-19-0287,yes,Best single entry point for the TGI-metric literature.
Mixed-effects tumour-growth models - methodological review,Survey of population tumour-growth models and drug-effect parameterisations.,Parameterisation guidance for the growth and kill terms.,n/a,C,Multiple,review,Catalogues the standard model structures and their identifiability issues,"Ribba B 2014, CPT: Pharmacometrics & Systems Pharmacology",10.1038/psp.2014.12,yes,
Glioma PDE modelling - methodological lineage,Origin and development of the proliferation-invasion (Fisher-KPP) glioma model.,Establishes the D/rho formalism our model borrows.,n/a,C,Glioma,review/method,Differential motility in grey vs white matter formalised as spatially varying D,"Swanson KR 2000, Cell Proliferation",10.1046/j.1365-2184.2000.00177.x,partial,Cite with Harpold 2007 for the lineage.
Evolution of glioma proliferation-invasion modelling,"Review of the modelling lineage and the meaning of D, rho and v.",As above.,n/a,C,Glioma,review,Traces how D and rho became patient-specific imaging-derived quantities,"Harpold HLP 2007, Journal of Neuropathology & Experimental Neurology",10.1097/nen.0b013e31802d9000,partial,
Patient-specific mathematical neuro-oncology - scope review,Review of what patient-specific PI-model metrics can and cannot deliver clinically.,Framing for the limits of our claims.,n/a,C,Glioma,review,Sets out the imaging-calibration requirement explicitly,"Jackson PR 2015, Bulletin of Mathematical Biology",10.1007/s11538-015-0067-7,no,Use for the honest-limits section.
Mathematical oncology roadmap,Community roadmap on where mechanistic models do and do not yet have clinical traction.,n/a.,n/a,C,Multiple,review,Identifies validation as the field's principal gap,"Rockne RC 2019, Physical Biology",10.1088/1478-3975/ab1a09,yes,
NCI-ALMANAC combination screen (data source),Systematic in vitro screen of FDA-approved anticancer drug pairs across the NCI-60 panel.,Source of the Hill-curve parameters that calibrate our kill terms.,n/a (in vitro screen),C,NCI-60 cell line panel,5232 drug pairs (approved-drug combinations) across NCI-60,n/a,"Holbeck SL 2017, Cancer Research",10.1158/0008-5472.CAN-17-0489,yes,Our upstream data source; cite when stating what the Hill curves come from.
Tumour growth rate constant KG - second prostate replication,Growth and regression rate constants from serial PSA under five successive treatment regimens.,Same biexponential fit to simulated burden.,Overall survival,A,Metastatic castration-resistant prostate cancer (five intramural NCI phase II trials),five phase II trials,Growth rate constant g correlated with survival and was superior to PSA doubling time; g fell ~10-fold across a decade of successively more effective regimens (log g from 10^-2.08 for thalidomide to 10^-3.17 for combination therapy),"Stein WD 2011, Clinical Cancer Research",10.1158/1078-0432.CCR-10-1762,yes,"Also the source of an important exception: in the vaccine arm, survival benefit appeared WITHOUT a corresponding change in g - so KG is not a universal surrogate across mechanisms."
Change in tumour size at week 7 as an OS predictor (original TGI-OS framework),"Model-estimated relative change in tumour size at a fixed early time, with baseline tumour size, in a parametric survival model.","As for ETS, at a fixed early simulated time.",Overall survival,A,Metastatic colorectal cancer (capecitabine phase II n=34; historical fluorouracil phase III n=252; survival model n=245; validated by simulating an independent phase III),245 for the survival model; 923-patient class of phase III trials simulated,Greater week-7 shrinkage and smaller baseline tumour size -> longer survival (both P<0.00001); predicted median OS 431 days (90% PI 362-514) vs 401 observed,"Claret L 2009, Journal of Clinical Oncology",10.1200/JCO.2008.21.0807,yes,The founding paper of the TGI-OS approach; establishes that early tumour-dynamics metrics plus baseline burden suffice to predict a phase III survival distribution.
